"","DATE","age","bmr","height","m_active_time","m_calories","m_distance","m_inactive_time","m_lcat","m_lcit","m_steps","m_total_calories","s_asleep_time","s_awake","s_awake_time","s_awakenings","s_bedtime","s_clinical_deep","s_count","s_deep","s_duration","s_light","s_quality","s_rem","weight"
"77",20150318,23.2328767123288,1972.67217671233,1.87,6606,565.549200437286,9755,22440,713,6420,11916,2538.22137714962,57,2557,27000,2,-775,0,1,8176,25787,17611,64,0,82
"78",20150319,23.2356164383562,1972.65366986301,1.87,5145,527.526694150992,8560,28320,1056,10680,9934,2500.18036401401,3598,763,35400,0,2837,0,1,13080,31896,18816,89,0,82
"79",20150320,23.2383561643836,1972.6351630137,1.87,4388,431.723428227274,7115,26100,2400,8520,8351,2404.35859124097,8220,2272,37800,1,7526,0,1,14701,28920,14219,83,0,82
"80",20150321,23.241095890411,1972.61665616438,1.87,5240,568.803253239646,8886,28860,1238,4620,10198,2541.41990940403,8580,991,29400,0,8004,0,1,6178,20904,14726,51,0,82
"81",20150322,23.2438356164384,1972.59814931507,1.87,3851,444.285717278921,6781,31620,2914,11400,7629,2416.88386659399,5880,720,39300,0,5162,0,1,16137,33712,17575,98,0,82
"82",20150323,23.2465753424658,1972.57964246575,1.87,4966,468.161763773537,7889,25500,1050,4740,9363,2440.74140623929,6720,1405,27600,1,6009,0,1,8700,20318,11618,55,0,82
"83",20150324,23.2493150684931,1972.56113561644,1.87,6970,734.394977166273,11805,27180,2143,4680,13548,2706.95611278271,4199,1932,37800,2,3339,0,1,10103,32824,22721,84,0,82
"84",20150325,23.2520547945205,1972.54262876712,1.87,6347,774.832556502405,6793,25680,1627,12420,8127,2747.37518526953,12480,712,39600,0,12181,0,1,10918,26714,15796,73,0,82
"85",20150326,23.2547945205479,1972.52412191781,1.87,8144,922.418241188549,14208,21300,3262,14100,16052,2894.94236310636,11280,783,41400,1,10914,0,1,12358,29787,17429,80,0,82
"86",20150327,23.2575342465753,1972.50561506849,1.87,6615,591.769151421694,10267,21780,673,2940,12294,2564.27476649019,3299,2036,25200,1,2286,0,1,6856,21720,14864,55,0,82
"87",20150328,23.2602739726027,1972.48710821918,1.87,4535,396.65535677168,6916,27060,953,6780,8352,2369.14246499086,6600,1079,35100,0,5523,0,1,13679,28756,15077,82,0,82
"88",20150329,23.2630136986301,1972.46860136986,1.87,10716,1382.54940420217,5778,27720,642,16200,6745,3355.01800557203,2340,903,7200,0,1676,0,1,2450,4851,2401,13,0,82
"89",20150330,23.2657534246575,1972.45009452055,1.87,6822,666.801708883085,11056,26580,892,5640,12944,2639.25180340363,9179,1657,28800,1,8166,0,1,7870,19543,11673,52,0,82
"90",20150331,23.2684931506849,1972.43158767123,1.87,4979,451.04969695227,7675,27360,867,6840,9219,2423.4812846235,6240,1397,27000,0,5473,0,1,8293,20772,12479,55,0,82
"91",20150401,23.2712328767123,1972.41308082192,1.87,7702,810.548912375934,9318,29220,1626,8040,10961,2782.96199319785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82
"92",20150402,23.2739726027397,1972.3945739726,1.87,7338,695.90981014938,11519,22920,1215,3480,13702,2668.30438412198,7019,1860,28800,0,5447,0,1,8280,21790,13510,57,0,82
"93",20150403,23.2767123287671,1972.37606712329,1.87,3730,367.04841597439,6051,31560,905,19920,7113,2339.42448309768,16020,1350,48600,1,15081,0,1,17317,32207,14890,97,0,82
"94",20150404,23.2794520547945,1972.35756027397,1.87,3887,387.543043904645,6323,26340,671,11700,7421,2359.90060417862,9959,686,40200,1,9576,0,1,14854,30214,15360,86,0,82
"95",20150405,23.2821917808219,1972.33905342466,1.87,1013,110.063472741048,1722,30900,193,7440,1986,2082.40252616571,8637,912,34200,0,8386,0,1,10496,25682,15186,69,0,82
"96",20150406,23.2849315068493,1972.32054657534,1.87,1751,174.897367968709,2877,29640,359,7620,3362,2147.21791454405,4620,721,36300,0,3901,0,1,17883,31812,13929,97,0,82
"97",20150407,23.2876712328767,1972.30203972603,1.87,4906,432.274011405444,7413,27720,801,9600,8984,2404.57605113147,5460,3453,29100,2,2971,0,1,12225,22956,10731,65,0,82
"98",20150408,23.2904109589041,1972.28353287671,1.87,3616,355.482875570062,5766,28200,496,7320,6846,2327.76640844677,838,971,35700,1,160,0,1,15729,34848,19119,100,0,82
"99",20150409,23.2931506849315,1972.2650260274,1.87,6962,931.630996317701,5297,28620,427,7200,6326,2903.8960223451,4140,4507,29100,3,1179,0,1,8885,23704,14819,60,0,82
"100",20150410,23.2958904109589,1972.24651917808,1.87,8387,822.490499287295,13522,22500,3276,3720,15900,2794.73701846538,8699,2043,29700,2,7664,0,1,9497,20103,10606,56,0,82
"101",20150411,23.2986301369863,1972.22801232877,1.87,10750,1280.03846662975,19448,23400,3504,4740,21664,3252.26647895852,2040,1762,31500,2,1328,0,1,14109,28546,14437,82,0,82
"102",20150412,23.3013698630137,1972.20950547945,1.87,5717,580.669235310776,9470,25680,589,3900,10980,2552.87874079023,7557,1145,27000,1,6763,0,1,6195,19351,13156,49,0,82
"103",20150413,23.3041095890411,1972.19099863014,1.87,4451,412.883282556668,7015,27480,830,7980,8333,2385.0742811868,4019,2251,25200,2,3346,0,1,6604,20285,13681,49,0,82
"104",20150414,23.3068493150685,1972.17249178082,1.87,6334,515.238360576053,8865,24120,1112,4980,11094,2487.41085235687,4018,1132,26100,0,3585,0,1,11781,22103,10322,64,0,82
"105",20150415,23.3095890410959,1972.15398493151,1.87,3269,272.115052744727,4707,27780,576,5580,5837,2244.26903767623,4199,991,29700,0,3919,0,1,10638,25639,15001,69,0,82
"106",20150416,23.3123287671233,1972.13547808219,1.87,3211,304.522037554738,5010,29400,520,8160,5957,2276.65751563693,959,1222,28800,0,234,0,1,14477,27857,13380,81,0,82
"107",20150417,23.3150684931507,1972.11697123288,1.87,5756,524.088219993246,8891,24900,1673,8460,10681,2496.20519122612,4918,2794,28200,2,4243,0,1,11341,22021,10680,64,0,82
"108",20150418,23.3178082191781,1972.09846438356,1.87,4112,422.399586432684,6750,25620,609,4140,7856,2394.49805081625,2338,1713,32400,2,1640,0,1,12966,29257,16291,82,0,82
"109",20150419,23.3205479452055,1972.07995753425,1.87,3163,325.008531697763,5215,27300,401,10020,6059,2297.08848923201,11399,932,38700,1,10729,0,1,11680,27187,15507,73,0,82
"110",20150420,23.3232876712329,1972.06145068493,1.87,3804,340.919546769949,5801,29520,361,4800,6973,2312.98099745488,-900,992,23700,1,-1601,0,1,11951,24452,12501,70,0,82
"111",20150421,23.3260273972603,1972.04294383562,1.87,4756,459.088711790062,7664,25020,804,7860,8996,2431.13165562568,4199,2173,35100,2,3277,0,1,12539,29803,17264,83,0,82
"112",20150422,23.3287671232877,1972.0244369863,1.87,8564,930.517523212442,9636,21300,1112,8280,11380,2902.54196019874,4138,4186,35400,4,3194,0,1,10691,28209,17518,73,0,82
